time,epoch,train_loss,val_loss,val_digit_acc,val_sequence_acc,best_sequence_acc,lr,epoch_seconds,elapsed,eta
2026-06-14 18:05:44,1,0.608368,0.016266,0.995233,0.977800,0.977800,0.00100000,196.69,03m 16s,3h 13m 24s
2026-06-14 18:08:49,2,0.022752,0.013317,0.996050,0.979000,0.979000,0.00100000,184.49,06m 21s,3h 04m 17s
2026-06-14 18:11:58,3,0.015290,0.009422,0.997300,0.986000,0.986000,0.00100000,189.87,09m 31s,3h 00m 52s
2026-06-14 18:15:04,4,0.012806,0.008604,0.997350,0.986300,0.986300,0.00100000,185.98,12m 37s,2h 56m 40s
2026-06-14 18:17:56,5,0.011279,0.006821,0.998017,0.989200,0.989200,0.00100000,172.04,15m 29s,2h 50m 21s
2026-06-14 18:20:49,6,0.010617,0.006813,0.998067,0.990300,0.990300,0.00100000,172.24,18m 21s,2h 45m 13s
2026-06-14 18:23:44,7,0.009925,0.004791,0.998767,0.993400,0.993400,0.00100000,174.74,21m 16s,2h 41m 03s
2026-06-14 18:26:39,8,0.009311,0.005048,0.998533,0.991900,0.993400,0.00100000,175.24,24m 11s,2h 37m 15s
2026-06-14 18:29:34,9,0.009032,0.005179,0.998383,0.992000,0.993400,0.00100000,174.98,27m 06s,2h 33m 37s
2026-06-14 18:32:29,10,0.008596,0.003356,0.999217,0.995800,0.995800,0.00100000,175.18,30m 01s,2h 30m 08s
2026-06-14 18:35:25,11,0.008173,0.007058,0.998367,0.990800,0.995800,0.00100000,175.75,32m 57s,2h 26m 48s
2026-06-14 18:38:18,12,0.007312,0.003399,0.999100,0.995000,0.995800,0.00100000,173.52,35m 51s,2h 23m 24s
2026-06-14 18:58:56,13,0.006824,0.003007,0.999117,0.995000,0.995800,0.00050000,1237.58,56m 28s,3h 24m 11s
2026-06-14 19:06:57,14,0.003992,0.001635,0.999617,0.997700,0.997700,0.00050000,481.40,1h 04m 30s,3h 31m 56s
2026-06-14 19:15:54,15,0.003438,0.002010,0.999417,0.996800,0.997700,0.00050000,537.08,1h 13m 27s,3h 40m 21s
2026-06-14 19:25:00,16,0.003662,0.002100,0.999517,0.997300,0.997700,0.00050000,545.84,1h 22m 33s,3h 47m 01s
2026-06-14 19:28:09,17,0.003567,0.001892,0.999483,0.997000,0.997700,0.00025000,188.36,1h 25m 41s,3h 36m 45s
2026-06-14 19:31:18,18,0.002353,0.001987,0.999433,0.997000,0.997700,0.00025000,188.81,1h 28m 50s,3h 27m 17s
2026-06-14 19:34:25,19,0.002363,0.001303,0.999617,0.997800,0.997800,0.00025000,187.42,1h 31m 57s,3h 18m 26s
2026-06-14 19:37:32,20,0.002186,0.001365,0.999617,0.997800,0.997800,0.00025000,186.92,1h 35m 04s,3h 10m 09s
2026-06-14 19:44:28,21,0.002240,0.001569,0.999583,0.997600,0.997800,0.00025000,416.51,1h 42m 01s,3h 09m 28s
2026-06-14 19:50:19,22,0.002184,0.002310,0.999417,0.997200,0.997800,0.00012500,350.97,1h 47m 52s,3h 06m 19s
2026-06-14 19:53:35,23,0.001807,0.001324,0.999650,0.997900,0.997900,0.00012500,195.20,1h 51m 07s,2h 58m 45s
2026-06-14 19:56:42,24,0.001570,0.001516,0.999617,0.997700,0.997900,0.00012500,187.31,1h 54m 14s,2h 51m 22s
2026-06-14 19:59:50,25,0.001491,0.001629,0.999667,0.998100,0.998100,0.00012500,187.76,1h 57m 22s,2h 44m 19s
2026-06-14 20:02:57,26,0.001663,0.001302,0.999717,0.998300,0.998300,0.00012500,186.76,2h 00m 29s,2h 37m 33s
2026-06-14 20:07:28,27,0.001690,0.001217,0.999650,0.998000,0.998300,0.00012500,271.39,2h 05m 00s,2h 32m 47s
2026-06-14 20:16:03,28,0.001319,0.001333,0.999667,0.998100,0.998300,0.00012500,515.41,2h 13m 36s,2h 32m 41s
2026-06-14 20:23:17,29,0.001392,0.001393,0.999650,0.998000,0.998300,0.00006250,433.23,2h 20m 49s,2h 30m 32s
2026-06-14 20:26:30,30,0.001421,0.001152,0.999700,0.998400,0.998400,0.00006250,192.93,2h 24m 02s,2h 24m 02s
2026-06-14 20:29:42,31,0.001396,0.000993,0.999750,0.998600,0.998600,0.00006250,192.79,2h 27m 15s,2h 17m 45s
2026-06-14 20:32:54,32,0.001196,0.001271,0.999633,0.998000,0.998600,0.00006250,191.11,2h 30m 26s,2h 11m 38s
2026-06-14 20:36:05,33,0.001258,0.001081,0.999650,0.998100,0.998600,0.00006250,191.32,2h 33m 37s,2h 05m 41s
2026-06-14 20:39:16,34,0.001194,0.001258,0.999650,0.998000,0.998600,0.00003125,190.71,2h 36m 48s,1h 59m 54s
2026-06-14 21:01:05,35,0.001155,0.001151,0.999683,0.998300,0.998600,0.00003125,1309.64,2h 58m 38s,2h 07m 35s
2026-06-14 21:04:27,36,0.001078,0.001059,0.999667,0.998200,0.998600,0.00003125,201.66,3h 01m 59s,2h 01m 19s
2026-06-14 21:07:35,37,0.000908,0.001037,0.999717,0.998300,0.998600,0.00001563,187.79,3h 05m 07s,1h 55m 04s
2026-06-14 21:10:42,38,0.001109,0.000961,0.999733,0.998400,0.998600,0.00001563,187.38,3h 08m 15s,1h 48m 59s
2026-06-14 21:13:50,39,0.000849,0.000997,0.999700,0.998300,0.998600,0.00001563,187.40,3h 11m 22s,1h 43m 02s
2026-06-14 22:06:39,40,0.001019,0.000933,0.999683,0.998200,0.998600,0.00000781,3169.44,4h 04m 11s,2h 02m 05s
2026-06-14 22:09:57,41,0.001180,0.000976,0.999733,0.998500,0.998600,0.00000781,198.36,4h 07m 30s,1h 54m 41s
2026-06-14 22:13:10,42,0.001053,0.000934,0.999733,0.998500,0.998600,0.00000781,192.24,4h 10m 42s,1h 47m 26s
2026-06-14 22:16:22,43,0.000941,0.000939,0.999750,0.998600,0.998600,0.00000391,192.28,4h 13m 54s,1h 40m 23s
2026-06-14 22:19:34,44,0.001104,0.000986,0.999717,0.998400,0.998600,0.00000391,191.47,4h 17m 06s,1h 33m 29s
2026-06-14 22:22:44,45,0.001073,0.000979,0.999750,0.998600,0.998600,0.00000391,190.72,4h 20m 17s,1h 26m 45s
2026-06-14 22:25:56,46,0.001041,0.000932,0.999733,0.998500,0.998600,0.00000195,191.69,4h 23m 28s,1h 20m 11s
2026-06-14 22:29:07,47,0.000991,0.000967,0.999750,0.998500,0.998600,0.00000195,191.18,4h 26m 39s,1h 13m 45s
2026-06-14 22:32:19,48,0.001145,0.000930,0.999750,0.998500,0.998600,0.00000195,191.46,4h 29m 51s,1h 07m 27s
2026-06-14 22:35:31,49,0.000916,0.000962,0.999717,0.998400,0.998600,0.00000098,192.64,4h 33m 04s,1h 01m 18s
2026-06-14 22:38:45,50,0.001101,0.000960,0.999717,0.998400,0.998600,0.00000098,193.63,4h 36m 17s,55m 15s
2026-06-14 22:41:57,51,0.001083,0.000940,0.999717,0.998400,0.998600,0.00000098,192.11,4h 39m 29s,49m 19s
2026-06-14 22:45:10,52,0.001036,0.000965,0.999717,0.998400,0.998600,0.00000049,193.29,4h 42m 43s,43m 29s
2026-06-14 22:48:23,53,0.000958,0.000946,0.999733,0.998500,0.998600,0.00000049,192.37,4h 45m 55s,37m 45s
2026-06-14 22:51:37,54,0.000861,0.000970,0.999717,0.998400,0.998600,0.00000049,193.91,4h 49m 09s,32m 07s
2026-06-14 22:54:49,55,0.001160,0.000961,0.999717,0.998400,0.998600,0.00000024,192.69,4h 52m 22s,26m 34s
2026-06-14 22:58:03,56,0.001042,0.000973,0.999733,0.998500,0.998600,0.00000024,193.93,4h 55m 36s,21m 06s
2026-06-14 23:01:16,57,0.001014,0.000941,0.999717,0.998400,0.998600,0.00000024,193.02,4h 58m 49s,15m 43s
2026-06-14 23:04:29,58,0.000914,0.000976,0.999717,0.998400,0.998600,0.00000012,192.55,5h 02m 01s,10m 24s
2026-06-14 23:07:43,59,0.000857,0.000946,0.999717,0.998400,0.998600,0.00000012,194.37,5h 05m 16s,05m 10s
2026-06-14 23:10:56,60,0.000948,0.000945,0.999733,0.998500,0.998600,0.00000012,192.48,5h 08m 28s,00m 00s
